userName,userLocation,rating,reviewDate,checkInDate,checkOutDate,likedText,dislikedText,reviewTitle,travelerType,roomInfo,numberOfNights,propertyResponse,hotelRatingScores,helpfulVotes,reviewLanguage,hotelId,images,aiAnalysis
Tiffany,United States,9,2024-09-04T13:31:34.000Z,2024-08-30,2024-08-31,"Great size and spacious apartment. The bathroom was very clean and the water hot. The a/c worked great! We had everything we needed for a comfortable stay. I loved the privacy of the courtyard. The location was absolutely perfect. The hostess was very nice, and she made us feel very welcome. Upon check-in, we were offered breakfast for an additional fee, which was great. We’ve already recommended this guesthouse to our friends.","There was no tv and just a bit noisy overhead, but thankfully, it was quiet throughout the night, so it wasn’t a problem when sleeping.",Excellent stay in Mtskheta; looking forward to the next time!,Family,Superior Apartment,1,❤️❤️❤️,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"удобство,комфорт,чистота,локация,сервис,завтрак,доброжелательность/шум"
Erica,United States,9,2024-08-30T21:24:29.000Z,2024-08-25,2024-08-26,"The location is perfect if you want to stay in Mtskheta. Very nice little apartment with all you need for a short stay, and most of what you might need for a longer one. Laundry, small kitchen, fridge, AC, and room for 3 or maybe 4 to sleep (I think the couch pulls out), but there were only 2 of us. The bed is not the most comfortable I've slept in, but it was fine for a night. Street parking was no problem, once we figured out getting into the old city area. Good value for this lodging.","The apt itself is great. The reason I'm deducting a star is that the communication was less than ideal. The hosts were very friendly and helpful, but didn't speak English, which would be fine if I had been given more info up front, like being sent an info email or message the day before arrival. We were in touch prior, and they responded promptly, but info was left out which would've been helpful beforehand considering i did tell them in advance we had no phone service in Georgia. 

For example, they said to use a map to find the place, which left out the important info that we'd need a remote control to get into the old city, so we drove to 3 gates before figuring out that one of us would wait by the car and the other would walk in. Then I couldn't find anyone at the building, nor figure out how to open the front gate, and had to ask a nearby vendor to help me call. When someone arrived, he was very nice, but the language barrier was a bit of an issue for me to ask questions; to get wifi, how to park, etc. Eventually, he put me on the phone with someone else who spoke good English, and everything got sorted, but it definitely took us an extra 30-45 min to check in after all this. 

Long story short, I would indeed recommend this place, and would stay again, however I also recommend confirming all info beforehand.",Lovely apt in center of Mtskheta,Couple,Superior Apartment,1,,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"локация,комфорт,сервис,удобство/языковой барьер,коммуникация"
Nicolas,Belgium,9,2024-08-03T17:52:20.000Z,2024-08-02,2024-08-03,Great location,,,Family,Superior Apartment,1,მადლობა თქვენ🙏🙏,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],локация/
Peter,France,8,2024-07-17T06:53:59.000Z,2024-07-13,2024-07-15,"The location is wonderful. While you are right in the middle of the town, there is no problem with noise. Waking up in the morning and walking out to that absolutely beautiful cathedral with the swallows flying everywhere, the shops opening up...just amazing, a wonderful experience. It was also nice to have good air conditioning.
The manager is very nice and communication was easy.
Suggestion: Reserve a table by the water at Ada Café for dinner","The apartment is slightly below ground so there is not much natural light and the WIFI is not super (which is why it may not be great for someone on business). 
It is a shame that there is no table to eat, just a low coffee table in the living room. I would suggest replacing the sofa at the entry which is not very useful with a table and a few chairs. 
The bed was too soft and flimsy for our liking, but that is personal. 
Finally, driving into the town with the barriers is not easy. I probably should have looked closer at other comments. There is no code to enter at the barrier where we arrived. You have to find a place to park, and then get the remote control from the manager. Luckily we did find a way despite Google Maps not being able to figure out the location (right at the main T intersection).","Just wonderful, but a few small things could be improved",Couple,Superior Apartment,2,"კომფორტი ყველასთვის არის ინდივიდუალური,მთავარია აღვიქვათ😍მადლობა შეფასებისთვის.🤝","[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"локация,коммуникация,сервис,комфорт/свет,интернет,мебель,доступность"
Philippe,France,9,2024-06-25T17:47:37.000Z,2024-06-24,2024-06-25,"Very warm welcome from the owner who was very kind and helpful. The apartment is well furnished and very comfortable, right next to Mtskheta cathedral and nearby restaurants. The Georgian breakfast we've been served  in the inner yard  was tasty and copious.
A great place to stay overnight or even longer.",,A quiet and comfortable stay in Mtskheta,Family,Superior Apartment,1,მადლობა თქვენ ასეთი კარგი შეფასებისთვის. ყველას ვუსურვებ თქვენისთანა საუკეთესო სტუმრე.🙏🙏🙏❤️❤️,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"доброжелательность,комфорт,завтрак,локация/"
Anna,Czech Republic,10,2024-05-10T05:56:14.000Z,2024-05-07,2024-05-09,"Great location,great host, free parking in front of the house in the city centre, great place to explore the surroundings and Tbilisi. There is everything you can  possibly need. I'm",,,Couple,Superior Apartment,2,Thank you. The best guests. I wish to always have good people like you 👍🏻👍🏻👍🏻👍🏻thanks ,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"локация,сервис,комфорт/"
Kei2003,Hong Kong,10,2023-07-26T11:24:35.000Z,2023-06-28,2023-06-29,"Friendly host, perfect location and large space. Bereka is definitely one of the best options, if you decide to stay overnight in Mtskheta for the beautiful sunrise there.",Can't figure out any,,Solo traveler,Superior Apartment,1,thank you very much ,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"доброжелательность,локация,комфорт/"
Ekaterina,Turkey,10,2023-02-21T07:55:02.000Z,2023-02-18,2023-02-20,"This is our second stay at Bereka hotel. As expected it was wonderful again. We came very tired from a long trip and had the best rest we could wish for two days. We are happy to have found this cozy place in Mtsheta. Warm room, comfortable beds, hot water, perfect cleanliness, good kitchen equipment. Wish to stay longer the next time. :)",,Our second stay,Family,Superior Apartment,2,დიდი მადლობა🙏🙏❤️❤️❤️,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"комфорт,чистота,локация/"
Zhirong,China,10,2023-02-11T09:48:41.000Z,2023-02-07,2023-02-08,everything location service… very kindling and support I stay 4 days,no,perfect,Solo traveler,Superior Apartment,1,Thank you. The best and good person. I wish everyone such a good guest,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"локация,сервис,доброжелательность/"
Ekaterina,Turkey,10,2022-12-03T18:26:37.000Z,2022-11-30,2022-12-01,"Absolutely love this place! Very comfortable and clean hotel. We stayed here in the end of November, the weather was chilly but the rooms were extremely warm and relaxing. If you are looking for a definitely warm hotel in winter don't miss it. There are 2 single beds in the bedroom and two sofas in the living room (one of them also becomes a comfortable single bed). The bathroom is spacious and clean. The separate small kitchen allows you to cook simple meals.
The owner is an extremely lovely person, who has offered us homemade wine (absolutely fabulous) and traditional georgian sweets.
We hope to visit this hotel again.",,,Family,Superior Apartment,1,"Thank you for such an evaluation. They were the best guests. I wish you to visit again.. I wish everyone such good, clean, orderly guests.❤️❤️🙏🙏","[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,en,8385148,[],"комфорт,чистота,доброжелательность/"
Kian,United Arab Emirates,10,2022-11-29T15:22:30.000Z,2022-11-17,2022-11-18,"Whole apartment is Great and warming feel at home 🏠🏡
*Big living hall and kitchen
*Good.. Good 👍 👍",,,Family,Superior Apartment,1,ძალიან კარგი ადამიანები👍👍,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"комфорт,мебель/"
Kian,United Arab Emirates,10,2022-11-20T10:19:58.000Z,2022-11-18,2022-11-19,Big room with kitchen and living hall,None,Very good apartment,Family,Superior Apartment,1,,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,"[""https://q-xx.bstatic.com/xdata/images/xphoto/max1280x900/181537207.jpg?k=4b5b8aa85315d3cf3e1d01fd3468adb6aace625a214ee5f0dda69b1dc6376b81&o="",""https://r-xx.bstatic.com/xdata/images/xphoto/max1280x900/181537216.jpg?k=52f8cdd272b2ce3e1deae5907d4c7d874d83799c562113deb775784ccd09f20a&o="",""https://q-xx.bstatic.com/xdata/images/xphoto/max1280x900/181537226.jpg?k=0d9373be5618699441ffe95c1056a9b713096f4694126b9ec4f40bd1201085a4&o=""]","удобство,комфорт/"
Kira,Russia,10,2022-08-17T15:02:28.000Z,2022-07-31,2022-08-13,"Felt like home, all of the needed facilities are here: AC, wifi, washing machine, tv, kettle, plates, pots, stove, microwave, fridge.  I stayed for 4 weeks and cant complain about anything.
To get to Tbilisi, Didube you catch a bus for 2 Lari, it goes with 15 min interval. Didube is a metro station so from there you can get where you need.",,,Solo traveler,Superior Apartment,13,"ყველაზე საუკეთესო ადამიანი ვინც ოდესმე მინახავს.მოწესრიგებული,თავაზიანი და სუფთა გოგონა.ყველას ვუსურვებ ასეთ ადამიანს მის სასტუმროში","[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,xu,8385148,[],"удобство,комфорт,интернет,локация/"
Ramesh,India,10,2022-04-16T13:25:38.000Z,2022-04-10,2022-04-12,Very nice inviting by the owner. Nice treatment.,Nothing,,Family,Superior Apartment,2,მადლობა🙏🙏🙏🙏თქვენ იყავით ძალიან კარგი სტუმრები.ყველას ვისურვებ თქვენისთანა ადამიანებსს,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",2,xu,8385148,[],"доброжелательность,сервис/"
Anna,Russia,10,2025-01-16T06:52:55.000Z,2025-01-09,2025-01-10,"Очень приветливая хозяйка, отличное расположение, комфортный и удобный номер. С удовольствием вернемся при случае",,,Group,Superior Apartment,1,დიდი მადლობა🙏,"[{""name"":""Staff"",""codeName"":""hotel_staff"",""score"":9.79315376281738},{""name"":""Facilities"",""codeName"":""hotel_services"",""score"":9.60671520233154},{""name"":""Cleanliness"",""codeName"":""hotel_clean"",""score"":9.79921531677246},{""name"":""Comfort"",""codeName"":""hotel_comfort"",""score"":9.55255031585693},{""name"":""Value for money"",""codeName"":""hotel_value"",""score"":9.62333297729492},{""name"":""Location"",""codeName"":""hotel_location"",""score"":9.94407558441162},{""name"":""Free Wifi"",""codeName"":""hotel_free_wifi"",""score"":10}]",0,ru,8385148,[],"доброжелательность,локация,комфорт/"
