author,location,rating,reviewTitle,reviewText,reviewDate,checkIn,checkOut,stayDuration,travelerType,roomInfo,hotelResponse,hotelScores,helpfulVotes,language
Erica,United States,9,Lovely apt in center of Mtskheta,"Понравилось: The location is perfect if you want to stay in Mtskheta. Very nice little apartment with all you need for a short stay, and most of what you might need for a longer one. Laundry, small kitchen, fridge, AC, and room for 3 or maybe 4 to sleep (I think the couch pulls out), but there were only 2 of us. The bed is not the most comfortable I've slept in, but it was fine for a night. Street parking was no problem, once we figured out getting into the old city area. Good value for this lodging.

Не понравилось: The apt itself is great. The reason I'm deducting a star is that the communication was less than ideal. The hosts were very friendly and helpful, but didn't speak English, which would be fine if I had been given more info up front, like being sent an info email or message the day before arrival. We were in touch prior, and they responded promptly, but info was left out which would've been helpful beforehand considering i did tell them in advance we had no phone service in Georgia. 

For example, they said to use a map to find the place, which left out the important info that we'd need a remote control to get into the old city, so we drove to 3 gates before figuring out that one of us would wait by the car and the other would walk in. Then I couldn't find anyone at the building, nor figure out how to open the front gate, and had to ask a nearby vendor to help me call. When someone arrived, he was very nice, but the language barrier was a bit of an issue for me to ask questions; to get wifi, how to park, etc. Eventually, he put me on the phone with someone else who spoke good English, and everything got sorted, but it definitely took us an extra 30-45 min to check in after all this. 

Long story short, I would indeed recommend this place, and would stay again, however I also recommend confirming all info beforehand.",2024-08-30T21:24:29.000Z,2024-08-25,2024-08-26,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Nicolas,Belgium,9,,Понравилось: Great location,2024-08-03T17:52:20.000Z,2024-08-02,2024-08-03,1 ночей,Family,Superior Apartment,მადლობა თქვენ🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Peter,France,8,"Just wonderful, but a few small things could be improved","Понравилось: The location is wonderful. While you are right in the middle of the town, there is no problem with noise. Waking up in the morning and walking out to that absolutely beautiful cathedral with the swallows flying everywhere, the shops opening up...just amazing, a wonderful experience. It was also nice to have good air conditioning.
The manager is very nice and communication was easy.
Suggestion: Reserve a table by the water at Ada Café for dinner

Не понравилось: The apartment is slightly below ground so there is not much natural light and the WIFI is not super (which is why it may not be great for someone on business). 
It is a shame that there is no table to eat, just a low coffee table in the living room. I would suggest replacing the sofa at the entry which is not very useful with a table and a few chairs. 
The bed was too soft and flimsy for our liking, but that is personal. 
Finally, driving into the town with the barriers is not easy. I probably should have looked closer at other comments. There is no code to enter at the barrier where we arrived. You have to find a place to park, and then get the remote control from the manager. Luckily we did find a way despite Google Maps not being able to figure out the location (right at the main T intersection).",2024-07-17T06:53:59.000Z,2024-07-13,2024-07-15,2 ночей,Couple,Superior Apartment,"კომფორტი ყველასთვის არის ინდივიდუალური,მთავარია აღვიქვათ😍მადლობა შეფასებისთვის.🤝",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Philippe,France,9,A quiet and comfortable stay in Mtskheta,"Понравилось: Very warm welcome from the owner who was very kind and helpful. The apartment is well furnished and very comfortable, right next to Mtskheta cathedral and nearby restaurants. The Georgian breakfast we've been served  in the inner yard  was tasty and copious.
A great place to stay overnight or even longer.",2024-06-25T17:47:37.000Z,2024-06-24,2024-06-25,1 ночей,Family,Superior Apartment,მადლობა თქვენ ასეთი კარგი შეფასებისთვის. ყველას ვუსურვებ თქვენისთანა საუკეთესო სტუმრე.🙏🙏🙏❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Anna,Czech Republic,10,,"Понравилось: Great location,great host, free parking in front of the house in the city centre, great place to explore the surroundings and Tbilisi. There is everything you can  possibly need. I'm",2024-05-10T05:56:14.000Z,2024-05-07,2024-05-09,2 ночей,Couple,Superior Apartment,Thank you. The best guests. I wish to always have good people like you 👍🏻👍🏻👍🏻👍🏻thanks ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Kei2003,Hong Kong,10,,"Понравилось: Friendly host, perfect location and large space. Bereka is definitely one of the best options, if you decide to stay overnight in Mtskheta for the beautiful sunrise there.

Не понравилось: Can't figure out any",2023-07-26T11:24:35.000Z,2023-06-28,2023-06-29,1 ночей,Solo traveler,Superior Apartment,thank you very much ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Ekaterina,Turkey,10,Our second stay,"Понравилось: This is our second stay at Bereka hotel. As expected it was wonderful again. We came very tired from a long trip and had the best rest we could wish for two days. We are happy to have found this cozy place in Mtsheta. Warm room, comfortable beds, hot water, perfect cleanliness, good kitchen equipment. Wish to stay longer the next time. :)",2023-02-21T07:55:02.000Z,2023-02-18,2023-02-20,2 ночей,Family,Superior Apartment,დიდი მადლობა🙏🙏❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Zhirong,China,10,perfect,"Понравилось: everything location service… very kindling and support I stay 4 days

Не понравилось: no",2023-02-11T09:48:41.000Z,2023-02-07,2023-02-08,1 ночей,Solo traveler,Superior Apartment,Thank you. The best and good person. I wish everyone such a good guest,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Ekaterina,Turkey,10,,"Понравилось: Absolutely love this place! Very comfortable and clean hotel. We stayed here in the end of November, the weather was chilly but the rooms were extremely warm and relaxing. If you are looking for a definitely warm hotel in winter don't miss it. There are 2 single beds in the bedroom and two sofas in the living room (one of them also becomes a comfortable single bed). The bathroom is spacious and clean. The separate small kitchen allows you to cook simple meals.
The owner is an extremely lovely person, who has offered us homemade wine (absolutely fabulous) and traditional georgian sweets.
We hope to visit this hotel again.",2022-12-03T18:26:37.000Z,2022-11-30,2022-12-01,1 ночей,Family,Superior Apartment,"Thank you for such an evaluation. They were the best guests. I wish you to visit again.. I wish everyone such good, clean, orderly guests.❤️❤️🙏🙏",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,en
Kian,United Arab Emirates,10,,"Понравилось: Whole apartment is Great and warming feel at home 🏠🏡
*Big living hall and kitchen
*Good.. Good 👍 👍",2022-11-29T15:22:30.000Z,2022-11-17,2022-11-18,1 ночей,Family,Superior Apartment,ძალიან კარგი ადამიანები👍👍,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Kian,United Arab Emirates,10,Very good apartment,"Понравилось: Big room with kitchen and living hall

Не понравилось: None",2022-11-20T10:19:58.000Z,2022-11-18,2022-11-19,1 ночей,Family,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Kira,Russia,10,,"Понравилось: Felt like home, all of the needed facilities are here: AC, wifi, washing machine, tv, kettle, plates, pots, stove, microwave, fridge.  I stayed for 4 weeks and cant complain about anything.
To get to Tbilisi, Didube you catch a bus for 2 Lari, it goes with 15 min interval. Didube is a metro station so from there you can get where you need.",2022-08-17T15:02:28.000Z,2022-07-31,2022-08-13,13 ночей,Solo traveler,Superior Apartment,"ყველაზე საუკეთესო ადამიანი ვინც ოდესმე მინახავს.მოწესრიგებული,თავაზიანი და სუფთა გოგონა.ყველას ვუსურვებ ასეთ ადამიანს მის სასტუმროში",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,xu
Ramesh,India,10,,"Понравилось: Very nice inviting by the owner. Nice treatment.

Не понравилось: Nothing",2022-04-16T13:25:38.000Z,2022-04-10,2022-04-12,2 ночей,Family,Superior Apartment,მადლობა🙏🙏🙏🙏თქვენ იყავით ძალიან კარგი სტუმრები.ყველას ვისურვებ თქვენისთანა ადამიანებსს,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,2,xu
Anna,Russia,10,,"Понравилось: Очень приветливая хозяйка, отличное расположение, комфортный и удобный номер. С удовольствием вернемся при случае",2025-01-16T06:52:55.000Z,2025-01-09,2025-01-10,1 ночей,Group,Superior Apartment,დიდი მადლობა🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Naoto,Japan,8,,"Понравилось: ・ホテルでなく民泊だが、2部屋ある大きな部屋だった。台所も簡易ではなく普通のもの。暖房もオイルヒーター3つで洗濯もしやすい（洗濯機があるのは助かる、ただバスルームのオイルヒーターは弱くて寒く感じる人はいるだろう）。
・朝食は自分の部屋にもってきてくれるか、ホストファミリーの家で食べるか、まあまあの内容。
・旧市街部分の中心の通り沿いなので、そういう楽しみはある。

Не понравилось: ・現金でしか払えない。",2025-01-08T17:05:17.000Z,2025-01-06,2025-01-08,2 ночей,Solo traveler,Superior Apartment,"7,5 ფასში რომ დამიწერეთ,ორი ღამეე საუზმით 60 კვადრატ აპარტამენტში არ მეკუთვნოდა.მადლობა.",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ja
Philipp,Russia,10,,"Понравилось: Очень уютный и хорошо продуманный дом. Есть всё, что нужно. В декабре было тепло. Приветливые хозяева. Вкусный завтрак.",2024-12-13T11:53:19.000Z,2024-12-08,2024-12-10,2 ночей,Couple,Superior Apartment,დიდი მადლობა თქვენ🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Viktoriia,Russia,10,Очень теплое место,"Понравилось: Местоположение в самом сердце Мцхеты, апартаменты очень чистые, постельное белье свежее, уютно как у себя дома. На кухне есть все, принадлежностей для готовки и посуды хватит на семью с детьми. Качественное отопление. Чистый приятный душ без запахов. И самое главное, хозяйка очень гостеприимная и добрая, завтраки были вкусные, большие и каждый день разные, я как будто в гостях у родственников побывала. Желаю вам здоровья и большой удачи 💖",2024-12-06T05:15:34.000Z,2024-12-02,2024-12-05,3 ночей,Family,Superior Apartment,"დიდი მადლობა თქვენ,საუკეთესო სტუმრობისათვის,ყველაფერი ისეე დატოვეთ და მოუარეთ როგორც საკუთარ სახლს.სულ ვისურვებდი თქვენისთანა კარგ და მოწესრიგებულ სტუმრებს.მართლა ოჯახივით მიგეჩვიეთ.საუკეთესო შვილები გყავთ და საუკეთესო წყვილი ხართ.მადლობა ყველაფრისათვის.ბევრი წაემატება თქვენს ლამაზ ოჯახს.❤️❤️❤️სულ გამიხარდება თქვენი სტუმრობა❤️❤️",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Maryann,Russia,10,,"Понравилось: включен вкусный завтрак , чисто , уютно , хорошая хозяйка, удобная кровать .",2024-11-17T15:33:46.000Z,2024-11-10,2024-11-11,1 ночей,Group,Superior Apartment,მადლობა თქვენ🙏🙏,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Patrickvdk,Netherlands,10,,"Понравилось: Schoon, netjes, midden in het centrum maar toch rustig, voldoende ruimte, lieve gastvrouw.",2024-10-29T07:49:00.000Z,2024-10-25,2024-10-26,1 ночей,Family,Superior Apartment,Thank you very much. 🙏🙏🙏❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,nl
Anastasia,Russia,10,"Теперь оставаться будем только у вас, очень понравилось, спасибо","Понравилось: Все понравилось, соответствует описанию и фото. Чисто, удобные кровати, тишина, центр города, радушные хозяева

Не понравилось: Такого нет",2024-10-12T06:15:53.000Z,2024-10-11,2024-10-12,1 ночей,Family,Superior Apartment,დიდი მადლობა თქვენ❤️❤️🙏🙏საუკეთესო სტუმრები.,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Konstantin,Russia,10,Ехали транзитом в сторону Турции. Идеальное место убить двух зайцев : ночевка и осмотр Мцхеты.,"Понравилось: Две спальни. Чистота просто идеальная. Новые матрасы, подушки, полотенца. Все свежее . Очень заботливые хозяйки, очень приятные женщины. До входа в Светицховели - 60 метров. Территория под шлагбаумом, все очень безопасно.",2024-10-06T16:10:11.000Z,2024-10-03,2024-10-04,1 ночей,Group,Superior Apartment,"მადლობა ძალიან დიდი,🙏🙏🙏🙏ძალიან კარგი ადამიანები",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Кormilina,Ukraine,10,,"Понравилось: Все понравилось , хозяйка Додо супер! Все было прекрасно, придраться совершено не к чему! Спасибо большое !",2024-10-06T12:16:05.000Z,2024-09-28,2024-09-29,1 ночей,Group,Superior Apartment,საუკეთესო ადამიანებიი ხართ თქვენ.მადლობა❤️❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Jose,Spain,10,¡Perfecta estancia!.,"Понравилось: Todo el alojamiento genial: tranquilo, céntrico, amplio, menaje completo y sobre todo el desayuno extraordinario. También hacer mención especial a la chica que nos atendió el dia 19 por la mañana, que fue muy agradable, simpática y con muchas ganas de ayudar, asi que un reconocimiento especial para ella.",2024-09-27T16:55:33.000Z,2024-09-18,2024-09-19,1 ночей,Couple,Superior Apartment,მადლობა ძალიან დიდი თქვენ.🙏🙏🙏🙏❤️❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,es
Nikolay,Russia,10,,"Понравилось: Самый центр Мцхеты. Парковка на улице, приехали поздно, место было. Все соответствует описанию. Вкусный домашний завтрак (яичница, каша, салат, чай, кофе, сыр, масло, мед, варенье..). Ну и самое главное отличные хозяева. Спасибо за ваш приём, теплоту и улыбки!

Не понравилось: Ну может пару крючков в ванной.",2024-09-22T20:01:20.000Z,2024-09-21,2024-09-22,1 ночей,Couple,Superior Apartment,"მადლობა თქვენ რომ დაინახეთ ჩვენი კეთილგანწყობა,თქვენც ძალიან კარგი სტუმრები იყავით.გელოდებით ისევ🥰",Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Alexveya,Switzerland,9,,"Понравилось: L'accès directe en voiture n'est pas possible, il faut demander la clé. Après, il est possible de parquet très près.
La situation au centre est incroyable!",2024-09-11T11:07:32.000Z,2024-08-06,2024-08-07,1 ночей,Family,Superior Apartment,მანქანით წვდომა შესაძლებელია.არის ცენტრალური გზა.უბრალოდ ჩვენი ქუჩაა იზოლირებული.პერსონალს რა დაუწუნეთ ასეე დაბალი ქულით რომ შეაფასეთ?ან რა დაგხვდათ უსუფთაო?უბრალოდ საწყენია და ძალიან ცუდია ეს დამოკიდებულება.მადლობა წარმატებები🥰,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,fr
Ivana,Czech Republic,10,,"Понравилось: Krasne místo v centru vedle katedrály, v noci klid, pohodlný, velký, cisty apartman, výborná snidane a velmi milá paní majitelka

Не понравилось: Nic",2024-09-08T17:26:05.000Z,2024-09-07,2024-09-08,1 ночей,Couple,Superior Apartment,Thank you very much. Better guests. ,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,cs
Marina,Russia,10,,"Понравилось: Все супер, гостеприимство на 100 баллов",2024-09-07T06:06:45.000Z,2024-07-08,2024-07-09,1 ночей,Family,Superior Apartment,მადლობა თქვენ🥰,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Alessio,Italy,9,,"Понравилось: Struttura in pienissimo centro, molto ampio come appartamento e abbastanza silenzioso. Colazione buona e abbondante.

Не понравилось: Il letto è veramente piccolo (una piazza e mezza). Un po' difficile da trovare per la mancanza di indicazioni.",2024-08-22T11:51:17.000Z,2024-08-11,2024-08-12,1 ночей,Couple,Superior Apartment,,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,it
Elena,Russia,10,,"Понравилось: понравилось все! отличное место, все очень чисто, аккуратно и уютно! спасибо большое хозяйке ♥️",2024-08-17T16:37:05.000Z,2024-08-16,2024-08-17,1 ночей,Group,Superior Apartment,ძალიან დიდი მადლობა თქვენ.❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Alla,Russia,10,,"Понравилось: Большое спасибо за гостеприимство, нам понравилось все без исключения!
Идеальная чистота, отличное месторасположение в самом центре, уютные и комфортные апартаменты, радушная хозяйка, прекрасный завтрак. Есть парковка.
С удовольствием остановимся здесь еще, наилучшие рекомендации!",2024-08-12T09:28:15.000Z,2024-08-10,2024-08-11,1 ночей,Family,Superior Apartment,დიდი მადლობა თქვენ🙏🙏🙏❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
Nina,Russia,9,,Понравилось: Просторный чистый апартамент в историческом центре Мцхета. Лояльная и доброжелательная хозяйка,2024-08-05T07:49:07.000Z,2024-07-27,2024-07-28,1 ночей,Family,Superior Apartment,მადლობა თქვენ❤️❤️❤️,Staff: 9.79315376281738; Facilities: 9.60671520233154; Cleanliness: 9.79921531677246; Comfort: 9.55255031585693; Value for money: 9.62333297729492; Location: 9.94407558441162; Free Wifi: 10,0,ru
